Steps,Episodes,Time Elapsed
10,10000,01:53:14
10,10000,01:53:14
10,10000,01:53:14
10,10000,01:53:14
10,10000,01:53:15
10,10000,01:53:15
10,10000,01:53:15
10,10000,01:53:15
10,10000,01:53:15
10,10000,01:53:15
10,10000,01:53:16
10,10000,01:53:16
10,10000,01:53:17
10,10000,01:53:17
10,10000,01:53:17
10,10000,01:53:17
10,10000,01:53:19
10,10000,01:53:20
10,10000,01:53:20
10,10000,01:53:20
10,10000,01:53:20
10,10000,01:53:21
10,10000,01:53:21
10,10000,01:53:21
10,10000,01:53:21
10,10000,01:53:21
10,10000,01:53:22
10,10000,01:53:22
10,10000,01:53:22
10,10000,01:53:22
10,10000,01:53:22
10,10000,01:53:23
10,10000,01:53:23
10,10000,01:53:23
10,10000,01:53:23
10,10000,01:53:23
10,10000,01:53:23
10,10000,01:53:24
10,10000,01:53:24
10,10000,01:53:24
10,10000,01:53:24
10,10000,01:53:24
10,10000,01:53:25
10,10000,01:53:25
10,10000,01:53:25
10,10000,01:53:25
10,10000,01:53:25
10,10000,01:53:25
10,10000,01:53:26
10,10000,01:53:26
10,10000,01:53:26
10,10000,01:53:26
10,10000,01:53:26
10,10000,01:53:26
10,10000,01:53:26
10,10000,01:53:27
10,10000,01:53:27
10,10000,01:53:27
10,10000,01:53:27
10,10000,01:53:27
10,10000,01:53:27
10,10000,01:53:28
10,10000,01:53:28
10,10000,01:53:28
10,10000,01:53:28
10,10000,01:53:28
10,10000,01:53:29
10,10000,01:53:29
10,10000,01:53:29
10,10000,01:53:29
10,10000,01:53:29
10,10000,01:53:29
10,10000,01:53:30
10,10000,01:53:30
10,10000,01:53:30
10,10000,01:53:30
10,10000,01:53:30
10,10000,01:53:30
10,10000,01:53:30
10,10000,01:53:31
10,10000,02:10:59
10,10000,02:10:59
10,10000,02:11:00
10,10000,02:11:00
10,10000,02:11:00
10,10000,02:11:00
10,10000,02:11:00
10,10000,02:11:00
10,10000,02:11:01
10,10000,02:11:01
10,10000,02:11:01
10,10000,02:11:01
10,10000,02:11:01
10,10000,02:11:02
10,10000,02:11:02
10,10000,02:11:02
10,10000,02:11:02
10,10000,02:11:03
10,10000,02:11:03
10,10000,02:11:03
10,10000,02:11:03
10,10000,02:11:03
10,10000,02:11:04
10,10000,02:11:04
10,10000,02:11:04
10,10000,02:11:04
10,10000,02:11:04
10,10000,02:11:05
10,10000,02:11:05
10,10000,02:11:05
10,10000,02:11:05
10,10000,02:11:06
10,10000,02:11:06
10,10000,02:11:06
10,10000,02:11:06
10,10000,02:11:06
10,10000,02:11:06
10,10000,02:11:07
10,10000,02:11:07
10,10000,02:11:07
10,10000,02:11:07
10,10000,02:11:07
10,10000,02:11:08
10,10000,02:11:08
10,10000,02:11:08
10,10000,02:11:08
10,10000,02:11:08
10,10000,02:11:08
10,10000,02:11:09
10,10000,02:11:09
10,10000,02:11:09
10,10000,02:11:09
10,10000,02:11:09
10,10000,02:11:09
10,10000,02:11:09
10,10000,02:11:10
10,10000,02:11:10
10,10000,02:11:10
10,10000,02:11:10
10,10000,02:11:10
10,10000,02:11:11
10,10000,02:11:11
10,10000,02:11:11
10,10000,02:11:11
10,10000,02:11:11
10,10000,02:11:11
10,10000,02:11:12
10,10000,02:11:12
10,10000,02:11:12
10,10000,02:11:12
10,10000,02:11:12
10,10000,02:11:12
10,10000,02:11:13
10,10000,02:11:13
10,10000,02:11:13
10,10000,02:11:13
10,10000,02:11:13
10,10000,02:11:13
10,10000,02:11:13
10,10000,02:11:14
10,10000,02:11:14
10,10000,02:11:14
10,10000,02:11:14
10,10000,02:11:14
10,10000,02:11:14
10,10000,02:11:14
10,10000,02:11:15
10,10000,02:11:15
10,10000,02:11:15
10,10000,02:11:15
10,10000,02:11:15
10,10000,02:11:15
10,10000,02:11:15
10,10000,02:11:15
10,10000,02:11:16
10,10000,02:11:16
10,10000,02:11:16
10,10000,02:11:16
10,10000,02:11:16
10,10000,02:11:16
10,10000,02:11:16
10,10000,02:11:17
10,10000,02:11:17
10,10000,02:11:17
10,10000,02:11:17
10,10000,02:11:17
10,10000,02:28:35
10,10000,02:28:35
10,10000,02:28:35
10,10000,02:28:35
10,10000,02:28:35
10,10000,02:28:36
10,10000,02:28:36
10,10000,02:28:36
10,10000,02:28:36
10,10000,02:28:36
10,10000,02:28:36
10,10000,02:28:37
10,10000,02:28:37
10,10000,02:28:37
10,10000,02:28:37
10,10000,02:28:38
10,10000,02:28:38
10,10000,02:28:38
10,10000,02:28:38
10,10000,02:28:39
10,10000,02:28:39
10,10000,02:28:39
10,10000,02:28:39
10,10000,02:28:39
10,10000,02:28:39
10,10000,02:28:40
10,10000,02:28:40
10,10000,02:28:40
10,10000,02:28:40
10,10000,02:28:40
10,10000,02:28:41
10,10000,02:28:41
10,10000,02:28:41
10,10000,02:28:42
10,10000,02:28:42
10,10000,02:28:42
10,10000,02:28:43
10,10000,02:28:43
10,10000,02:28:43
10,10000,02:28:43
10,10000,02:28:44
10,10000,02:28:44
10,10000,02:28:44
10,10000,02:28:45
10,10000,02:28:45
10,10000,02:28:45
10,10000,02:28:45
10,10000,02:28:46
10,10000,02:28:46
10,10000,02:28:46
10,10000,02:28:46
10,10000,02:28:46
10,10000,02:28:47
10,10000,02:28:47
10,10000,02:28:47
10,10000,02:28:47
10,10000,02:28:47
10,10000,02:28:47
10,10000,02:28:48
10,10000,02:28:48
10,10000,02:28:48
10,10000,02:28:48
10,10000,02:28:48
10,10000,02:28:49
10,10000,02:28:49
10,10000,02:28:49
10,10000,02:28:49
10,10000,02:28:49
10,10000,02:28:49
10,10000,02:28:49
10,10000,02:28:50
10,10000,02:28:50
10,10000,02:28:50
10,10000,02:28:50
10,10000,02:28:50
10,10000,02:28:51
10,10000,02:28:51
10,10000,02:28:51
10,10000,02:28:51
10,10000,02:28:51
10,10000,02:28:51
10,10000,02:28:52
10,10000,02:28:52
10,10000,02:28:52
10,10000,02:28:52
10,10000,02:28:53
10,10000,02:28:53
10,10000,02:28:53
10,10000,02:28:53
10,10000,02:28:53
10,10000,02:28:54
10,10000,02:28:54
10,10000,02:28:54
10,10000,02:28:54
10,10000,02:28:54
10,10000,02:28:54
10,10000,02:28:55
10,10000,02:46:09
10,10000,02:46:09
10,10000,02:46:09
10,10000,02:46:09
10,10000,02:46:10
10,10000,02:46:10
10,10000,02:46:10
10,10000,02:46:10
10,10000,02:46:10
10,10000,02:46:11
10,10000,02:46:11
10,10000,02:46:11
10,10000,02:46:11
10,10000,02:46:11
10,10000,02:46:12
10,10000,02:46:12
10,10000,02:46:12
10,10000,02:46:12
10,10000,02:46:12
10,10000,02:46:13
10,10000,02:46:13
10,10000,02:46:13
10,10000,02:46:13
10,10000,02:46:13
10,10000,02:46:13
10,10000,02:46:14
10,10000,02:46:14
10,10000,02:46:14
10,10000,02:46:14
10,10000,02:46:14
10,10000,02:46:15
10,10000,02:46:15
10,10000,02:46:15
10,10000,02:46:15
10,10000,02:46:15
10,10000,02:46:16
10,10000,02:46:16
10,10000,02:46:16
10,10000,02:46:16
10,10000,02:46:16
10,10000,02:46:16
10,10000,02:46:17
10,10000,02:46:17
10,10000,02:46:17
10,10000,02:46:17
10,10000,02:46:17
10,10000,02:46:18
10,10000,02:46:18
10,10000,02:46:18
10,10000,02:46:18
10,10000,02:46:19
10,10000,02:46:19
10,10000,02:46:19
10,10000,02:46:19
10,10000,02:46:20
10,10000,02:46:20
10,10000,02:46:20
10,10000,02:46:21
10,10000,02:46:21
10,10000,02:46:21
10,10000,02:46:21
10,10000,02:46:22
10,10000,02:46:22
10,10000,02:46:22
10,10000,02:46:23
10,10000,02:46:23
10,10000,02:46:23
10,10000,02:46:24
10,10000,02:46:25
10,10000,02:46:25
10,10000,02:46:26
10,10000,02:46:27
10,10000,02:46:28
10,10000,03:03:37
10,10000,03:03:37
10,10000,03:03:37
10,10000,03:03:38
10,10000,03:03:38
10,10000,03:03:38
10,10000,03:03:38
10,10000,03:03:38
10,10000,03:03:38
10,10000,03:03:39
10,10000,03:03:39
10,10000,03:03:39
10,10000,03:03:39
10,10000,03:03:40
10,10000,03:03:40
10,10000,03:03:40
10,10000,03:03:40
10,10000,03:03:40
10,10000,03:03:41
10,10000,03:03:41
10,10000,03:03:41
10,10000,03:03:41
10,10000,03:03:42
10,10000,03:03:42
10,10000,03:03:42
10,10000,03:03:42
10,10000,03:03:42
10,10000,03:03:43
10,10000,03:03:43
10,10000,03:03:43
10,10000,03:03:43
10,10000,03:03:44
10,10000,03:03:44
10,10000,03:03:44
10,10000,03:03:45
10,10000,03:03:45
10,10000,03:03:45
10,10000,03:03:45
10,10000,03:03:46
10,10000,03:03:46
10,10000,03:03:46
10,10000,03:03:46
10,10000,03:03:47
10,10000,03:03:47
10,10000,03:03:47
10,10000,03:03:47
10,10000,03:03:48
10,10000,03:03:48
10,10000,03:03:48
10,10000,03:03:48
10,10000,03:03:49
10,10000,03:03:49
10,10000,03:03:49
10,10000,03:03:49
10,10000,03:03:49
10,10000,03:03:50
10,10000,03:03:50
10,10000,03:03:50
10,10000,03:03:50
10,10000,03:03:50
10,10000,03:03:50
10,10000,03:03:51
10,10000,03:03:51
10,10000,03:03:51
10,10000,03:03:51
10,10000,03:03:51
10,10000,03:03:52
10,10000,03:03:52
10,10000,03:03:52
10,10000,03:03:52
10,10000,03:03:52
10,10000,03:03:53
10,10000,03:03:53
10,10000,03:03:53
10,10000,03:03:53
10,10000,03:03:53
10,10000,03:03:54
10,10000,03:03:54
10,10000,03:03:54
10,10000,03:03:54
10,10000,03:03:55
10,10000,03:03:55
10,10000,03:03:55
10,10000,03:03:55
10,10000,03:03:55
10,10000,03:03:55
10,10000,03:03:56
10,10000,03:03:56
10,10000,03:03:56
10,10000,03:03:56
10,10000,03:03:56
10,10000,03:03:56
10,10000,03:03:56
10,10000,03:03:57
10,10000,03:03:57
10,10000,03:03:57
10,10000,03:03:57
10,10000,03:03:57
10,10000,03:03:58
10,10000,03:03:58
10,10000,03:21:00
10,10000,03:21:00
10,10000,03:21:00
10,10000,03:21:01
10,10000,03:21:01
10,10000,03:21:01
10,10000,03:21:01
10,10000,03:21:02
10,10000,03:21:02
10,10000,03:21:02
10,10000,03:21:02
10,10000,03:21:02
10,10000,03:21:03
10,10000,03:21:03
10,10000,03:21:03
10,10000,03:21:03
10,10000,03:21:03
10,10000,03:21:04
10,10000,03:21:04
10,10000,03:21:04
10,10000,03:21:04
10,10000,03:21:05
10,10000,03:21:05
10,10000,03:21:05
10,10000,03:21:05
10,10000,03:21:05
10,10000,03:21:06
10,10000,03:21:06
10,10000,03:21:06
10,10000,03:21:07
10,10000,03:21:07
10,10000,03:21:07
10,10000,03:21:07
10,10000,03:21:08
10,10000,03:21:08
10,10000,03:21:08
10,10000,03:21:08
10,10000,03:21:08
10,10000,03:21:09
10,10000,03:21:09
10,10000,03:21:09
10,10000,03:21:09
10,10000,03:21:09
10,10000,03:21:10
10,10000,03:21:10
10,10000,03:21:10
10,10000,03:21:10
10,10000,03:21:10
10,10000,03:21:11
10,10000,03:21:11
10,10000,03:21:11
10,10000,03:21:11
10,10000,03:21:11
10,10000,03:21:12
10,10000,03:21:12
10,10000,03:21:12
10,10000,03:21:12
10,10000,03:21:12
10,10000,03:21:13
10,10000,03:21:13
10,10000,03:21:13
10,10000,03:21:13
10,10000,03:21:13
10,10000,03:21:14
10,10000,03:21:14
10,10000,03:21:14
10,10000,03:21:14
10,10000,03:21:14
10,10000,03:21:15
10,10000,03:21:15
10,10000,03:21:15
10,10000,03:21:15
10,10000,03:21:15
10,10000,03:21:15
10,10000,03:21:16
10,10000,03:21:16
10,10000,03:21:16
10,10000,03:21:16
10,10000,03:21:16
10,10000,03:21:16
10,10000,03:21:17
10,10000,03:21:17
10,10000,03:21:17
10,10000,03:21:17
10,10000,03:21:17
10,10000,03:21:17
10,10000,03:21:18
10,10000,03:21:18
10,10000,03:21:18
10,10000,03:21:18
10,10000,03:21:18
10,10000,03:21:18
10,10000,03:21:19
10,10000,03:41:13
10,10000,03:41:13
10,10000,03:41:13
10,10000,03:41:14
10,10000,03:41:14
10,10000,03:41:14
10,10000,03:41:14
10,10000,03:41:15
10,10000,03:41:15
10,10000,03:41:15
10,10000,03:41:15
10,10000,03:41:15
10,10000,03:41:16
10,10000,03:41:16
10,10000,03:41:16
10,10000,03:41:17
10,10000,03:41:17
10,10000,03:41:17
10,10000,03:41:17
10,10000,03:41:18
10,10000,03:41:18
10,10000,03:41:18
10,10000,03:41:19
10,10000,03:41:19
10,10000,03:41:19
10,10000,03:41:19
10,10000,03:41:19
10,10000,03:41:20
10,10000,03:41:20
10,10000,03:41:20
10,10000,03:41:20
10,10000,03:41:20
10,10000,03:41:21
10,10000,03:41:21
10,10000,03:41:21
10,10000,03:41:21
10,10000,03:41:22
10,10000,03:41:22
10,10000,03:41:22
10,10000,03:41:23
10,10000,03:41:23
10,10000,03:41:23
10,10000,03:41:24
10,10000,03:41:24
10,10000,03:41:24
10,10000,03:41:25
10,10000,03:41:25
10,10000,03:41:25
10,10000,03:41:25
10,10000,03:41:26
10,10000,03:41:26
10,10000,03:41:26
10,10000,03:41:26
10,10000,03:41:27
10,10000,03:41:27
10,10000,03:41:27
10,10000,03:41:28
10,10000,03:41:28
10,10000,03:41:28
10,10000,03:41:28
10,10000,03:41:29
10,10000,03:41:29
10,10000,03:41:29
10,10000,03:41:29
10,10000,03:41:29
10,10000,03:41:30
10,10000,03:41:30
10,10000,03:41:30
10,10000,03:41:30
10,10000,03:41:30
10,10000,03:41:30
10,10000,03:41:31
10,10000,03:41:31
10,10000,03:41:31
10,10000,03:41:31
10,10000,03:41:31
10,10000,03:41:31
10,10000,03:41:31
10,10000,03:41:32
10,10000,03:41:32
10,10000,03:41:32
10,10000,03:41:32
10,10000,03:41:32
10,10000,03:41:33
10,10000,03:41:33
10,10000,03:41:33
10,10000,03:41:33
10,10000,03:41:33
10,10000,03:41:34
10,10000,03:41:34
10,10000,03:41:34
10,10000,03:41:34
10,10000,03:41:34
10,10000,03:41:34
10,10000,03:41:35
10,10000,03:41:35
10,10000,03:41:35
10,10000,03:41:35
10,10000,03:41:35
10,10000,03:41:35
10,10000,03:41:36
10,10000,03:41:36
10,10000,03:41:36
10,10000,03:41:36
10,10000,03:41:36
10,10000,03:41:36
